2step;SonyAIBORobotSurfaceII;0.0010;229.693;0.771;12.270;17.930;0.090
2step;SonyAIBORobotSurfaceII;0.0050;233.945;0.810;11.111;17.980;0.070
2step;SonyAIBORobotSurfaceII;0.0050;270.390;0.764;9.526;17.420;0.070
2step;SonyAIBORobotSurfaceII;0.0100;290.770;0.756;6.062;17.460;0.070
2step;SonyAIBORobotSurfaceII;0.0100;332.570;0.741;8.979;17.290;0.060
2step;StarLightCurves;0.0005;1546.943;0.905;186.485;382404.760;160.510
2step;StarLightCurves;0.0100;1746.440;0.828;4.000;243651.110;0.550
2step;Strawberry;0.0005;66.457;0.935;86.318;2337.790;3.350
2step;Strawberry;0.0005;57.327;0.951;89.157;4636.530;6.210
2step;Strawberry;0.0010;75.369;0.938;60.961;5572.030;0.710
2step;Strawberry;0.0010;75.622;0.935;58.111;4946.430;0.560
2step;Strawberry;0.0050;258.035;0.643;12.736;5265.500;0.130
2step;Strawberry;0.0050;234.965;0.786;33.920;5918.540;0.330
2step;Strawberry;0.0100;243.520;0.643;4.000;2628.120;0.040
2step;Strawberry;0.0100;243.520;0.643;4.000;2512.410;0.040
2step;SwedishLeaf;0.0005;142.548;0.826;107.352;3685.900;1.070
2step;SwedishLeaf;0.0005;137.490;0.840;119.966;3351.580;1.000
2step;SwedishLeaf;0.0010;173.538;0.824;101.661;8966.210;2.580
2step;SwedishLeaf;0.0010;165.905;0.838;103.848;4139.700;1.460
2step;SwedishLeaf;0.0050;270.670;0.610;8.534;3958.450;0.160
2step;SwedishLeaf;0.0050;281.950;0.587;7.664;4138.610;0.150
2step;SwedishLeaf;0.0100;311.690;0.544;4.270;3425.030;0.060
2step;SwedishLeaf;0.0100;315.570;0.536;4.091;3674.130;0.050
2step;ToeSegmentation1;0.0005;123.122;0.496;71.246;142.420;0.100
2step;ToeSegmentation1;0.0005;114.008;0.535;70.246;132.210;0.130
2step;ToeSegmentation1;0.0010;124.204;0.513;57.912;148.230;0.120
2step;ToeSegmentation1;0.0010;125.455;0.509;59.013;268.200;0.130
2step;ToeSegmentation1;0.0050;114.630;0.544;9.325;159.980;0.020
2step;ToeSegmentation1;0.0050;133.095;0.518;20.259;170.030;0.020
2step;ToeSegmentation1;0.0100;133.210;0.513;9.741;339.120;0.030
2step;ToeSegmentation1;0.0100;123.570;0.531;7.268;162.570;0.010
2step;ToeSegmentation2;0.0005;74.971;0.469;91.862;164.920;0.170
2step;ToeSegmentation2;0.0005;71.146;0.485;63.785;343.780;0.200
2step;ToeSegmentation2;0.0010;66.608;0.538;50.831;170.330;0.120
2step;ToeSegmentation2;0.0010;75.582;0.492;73.708;191.550;0.150
2step;ToeSegmentation2;0.0050;83.715;0.400;8.792;198.980;0.010
2step;ToeSegmentation2;0.0050;97.255;0.300;9.623;389.560;0.020
2step;ToeSegmentation2;0.0100;85.200;0.385;4.000;202.150;0.010
2step;ToeSegmentation2;0.0100;86.200;0.377;4.000;201.010;0.010
2step;Trace;0.0005;26.158;0.780;83.160;431.390;0.200
2step;Trace;0.0005;28.361;0.790;147.220;407.640;0.160
2step;Trace;0.0010;26.561;0.830;95.610;517.450;0.190
2step;Trace;0.0010;29.960;0.810;109.600;920.700;0.400
2step;Trace;0.0050;34.235;0.680;4.470;524.000;0.000
2step;Trace;0.0050;38.235;0.640;4.470;508.660;0.010
2step;Trace;0.0100;36.530;0.690;5.530;503.080;0.000
2step;Trace;0.0100;37.000;0.670;4.000;486.930;0.010
2step;TwoLeadECG;0.0005;131.113;0.903;37.072;20.960;0.190
2step;TwoLeadECG;0.0005;132.266;0.898;28.561;21.620;0.200
2step;TwoLeadECG;0.0010;157.828;0.939;77.988;21.270;0.200
2step;TwoLeadECG;0.0010;118.972;0.946;50.897;20.790;0.180
2step;TwoLeadECG;0.0050;469.170;0.618;6.000;21.320;0.070
